<PCA>								
<ID>	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
DP111	-27.914114	5.405257	-1.9122901	-3.002532	3.315527	-10.118668	7.342359	-4.0230975
DP114	-29.063763	5.9255977	-1.4659499	-3.0340533	3.8510249	-9.576934	7.4823303	0.45192918
DP117	-20.738642	4.425899	-1.2063774	-2.456482	1.9060366	-6.677452	5.1835165	-4.756169
DP120	-24.620829	3.3569643	-6.7422876	6.5975585	-2.1096654	-5.4604096	-0.19948925	-8.788479
DP121	-7.9819393	0.7326686	-1.8021048	1.6859459	-0.5990741	0.24032721	-0.99548393	-7.5575576
DP127	-8.008667	-0.111964405	0.34800833	-0.8509766	1.1034049	-1.3041464	0.631294	-6.5100894
DP129	-6.929179	-0.09560804	0.7081377	-0.3026602	1.0839499	0.08350967	-0.5483927	-7.6619883
DP131	-11.06977	0.577532	-0.27371463	-0.07334879	1.7390355	-2.6141124	0.3613341	-7.0084
DP132	-13.12781	1.3822712	-0.78108513	0.10654913	-0.24469948	-2.143735	0.3443523	-5.2440577
DP140	-21.434809	1.6436906	-6.3634667	8.424588	-1.4535998	-1.7112964	-2.153775	-4.5594835
DP152	-12.078641	-1.1859103	4.570584	-9.044675	4.9948697	-4.877275	10.075605	-4.612572
DP172	2.8928766	-4.6350923	1.9967824	-2.851351	0.8046538	1.0447102	-2.3882833	-7.014736
DP178	8.97497	-15.070955	12.651601	6.187775	-7.556566	-7.9318085	-10.885569	-0.7349992
DP179	11.654162	-20.378454	17.442652	6.279002	-12.736991	-10.583064	-13.970528	0.25497624
DP183	-4.768303	5.0631166	3.6961076	-4.854943	4.7401667	-4.3102427	3.8211021	-2.9238927
DP184	-3.208949	-2.0319688	7.082705	-2.0918906	2.1830347	-5.731213	3.6786084	-0.058152378
DP190	-4.6600094	1.0144321	11.012233	-4.1102185	-4.1078444	-11.060432	-0.68765247	2.130497
DP192	-5.092936	-4.848167	10.690443	-3.9044154	-2.8884394	-8.304487	-1.729028	-3.4266837
DP200	-27.770124	7.931331	6.5327954	-14.265286	3.289324	-9.375738	10.405255	-0.37474898
Danbeak	-18.87353	-0.35789847	-17.184881	23.097607	-5.978678	11.73187	-12.492111	-0.218538
Deapoong	-17.670856	4.739258	4.554178	-9.354895	2.4720836	-5.032266	5.9428687	-3.0546756
H1	35.690002	29.964571	-4.2024317	0.08592834	-4.887537	-2.6244652	2.114403	1.9520369
H10	27.400621	20.075703	-2.1091824	1.603529	2.828759	-2.416532	-0.349822	0.6340772
H11	36.510796	30.71087	-4.193663	0.06640183	-5.0080085	-2.6640909	2.161356	2.23481
H12	14.633245	-12.834611	5.8864164	9.720421	41.27	-7.693792	-9.094844	0.15725386
H13	35.400745	29.432917	-4.192814	0.002371327	-4.894921	-2.6165218	1.8233618	2.384721
H14	36.637047	30.71092	-4.172538	0.112191744	-5.1009507	-2.5207026	2.1569574	2.3805885
H15	26.888807	7.948344	1.3745332	5.837272	22.16576	-6.463331	-4.06041	1.738779
H17	16.427517	-14.0118265	6.897269	11.124019	47.543068	-9.45022	-10.081246	0.9469696
H18	30.55049	25.568607	-3.3894134	0.055585094	-3.8881385	-1.3210225	1.2545273	0.5284155
H19	31.651562	26.789808	-3.6705713	-0.058153365	-4.3968506	-1.9031008	1.231671	1.6233675
H2	26.902145	22.639221	-2.575825	-0.30319756	-4.703341	-1.2692744	1.3901253	0.35850424
H20	32.561146	25.857794	-3.501679	0.63087803	-1.1455678	-2.7096088	1.0569818	1.7007558
H23	24.005522	4.9272566	1.7832208	6.19605	24.359251	-6.4067516	-4.5489097	1.2925744
H24	18.278639	14.509171	-1.5669976	-0.068273515	-2.5109348	0.20320778	-0.4542952	-2.4305747
H25	34.05835	28.746685	-3.7966893	-0.00244161	-4.45791	-2.3246863	2.1362648	1.7555329
H25_165	3.9023917	-4.1505136	1.1630208	-2.4788568	2.1756575	1.824829	0.3310293	-1.4670621
H25_78	20.115446	8.923405	-4.6299644	-1.6317039	-2.809966	-0.010291735	0.736169	-0.39212376
H27	33.681774	28.239887	-3.711345	-0.002128367	-4.7260785	-2.2296796	1.6721817	1.5220327
H28	29.995275	24.83833	-3.5910883	-0.1544419	-4.335017	-1.2672143	1.2917478	1.0156459
H29	18.832825	14.723816	-2.0895326	-0.37530828	-2.5802872	0.8073239	-0.024340717	-2.5222673
H3	23.709326	20.002445	-3.210505	-0.11514551	-3.3554995	-0.4780699	0.25884855	-0.85201544
