<Trait>	Daidzein	Glycitein	Genistein	Daidzin	Glycitin	Genistin	Malonyl_daidzin	Malonyl_glycitin	Malonyl_genistin	Acetyl_daidzin	Acetyl_genistin	Total_isoflavone
H42	3.14	12.92	5.83	226.54	65.17	312.76	691.1	136.6	957.05	103.94	1.49	2516.55
H43	3.4	14.81	8.67	178.85	56.89	395.59	530.56	116.37	1178.95	122.48	1.53	2608.09
H44	6.14	13.46	5.65	317.17	129.74	353.33	953.22	323.97	1051.71	116.9	3.3	3274.6
H45	3.39	11.16	5.63	140.59	54.38	214.66	488.55	130.89	684.07	73.92	1.38	1808.62
H46	3.57	9.55	3.74	192.79	111.06	224.52	560.61	240.6	628.61	68.98	2.6	2046.62
H47	3.19	11.64	5.66	162.72	61.99	252.14	520.79	149.75	766.29	77.97	1.56	2013.7
H49	3.35	12.08	5.36	192.3	71.98	281.93	615.83	177.74	842.48	85.47	1.79	2290.31
H5	5.05	13.18	6.83	262.45	93.28	343.82	707.42	184.59	942.97	102.48	3.18	2665.25
H50	2.43	10.61	4.52	128.72	47.5	210.46	430.49	110.78	636.13	67.31	1.32	1650.28
H6	8.02	11.06	7.13	296.39	155.31	292.8	773.41	297.63	740.74	85.98	4.56	2673.03
H8	6.38	14.51	9.52	264.41	126.2	350.8	678.66	261.46	870.83	96.97	3.04	2682.78
H9	4.15	12.53	7.57	203.81	84.2	335.7	549.8	167.23	851.77	92.72	3.03	2312.52
Hwangeum	4.51	12.21	8.87	198.38	64.83	363.52	532.81	134.9	922.68	97.71	2.26	2342.68
JoseangSeori	7.47	19.26	8.99	386.38	89.38	590.56	958.37	139.41	1437.57	148.73	2.22	3788.34
JoseangSeoriD1	6.52	10.46	4.71	215.97	47.05	242.12	518.03	81.62	634.25	68.13	3.04	1831.91
JoseangSeoriD2	6.43	11.34	6.59	167.17	52.83	229.74	437.29	91.9	640.18	65.79	2.34	1711.6
JoseangSeorismall	7.75	17.2	12.97	282.2	91.51	512.5	631.91	147.5	1194.34	124.24	1.75	3023.89
KAS36022	7.89	7.55	5.25	161.72	69.45	189.43	510.08	162.39	510.2	53.37	7.27	1684.59
PD01	12.08	7.66	11.89	193.56	128.75	267.37	398.21	178.69	555.99	53.79	5.55	1813.54
PD02	9.78	9.87	7.94	246.22	89.52	253.2	537.99	137.76	608.03	62.9	2.24	1965.46
PD03	11.99	10.36	9.78	274.83	69.32	277.97	601.61	104.91	658.29	66.82	2.58	2088.45
PD04	10.73	7.41	9.48	241.15	89.68	236.77	512.23	140.31	540.17	56.27	1.98	1846.18
PD05	10.1	11.03	8.8	246.45	70.33	278.64	601.91	117.95	707.83	70.63	2.65	2126.32
PD06	15.45	8.2	12.29	209.12	71.43	211.67	426.24	108.48	468.33	46.38	3.02	1580.62
PD07	11.48	6.2	6.31	148.87	64.85	119.38	291.75	98.74	256.15	26.89	2.31	1032.95
PI01	6.52	8.94	6.39	301.33	344.58	305.24	758.05	484.37	724.33	80.9	5.77	3026.43
PI02	5.53	10.51	5.32	246.63	115.97	294.04	558.06	170.93	711.8	70.36	2.26	2191.4
PI03	7.91	11.56	8.53	307.16	146.42	421.51	737.28	250.68	975.18	101.79	6.17	2974.19
PI04	8.72	11.27	9.1	316.69	148.41	345.02	772.52	239	911.69	97.2	5.32	2864.95
PI05	6.71	10.73	6.74	255.98	119.35	318.32	682.55	221.95	904.99	97.46	3.61	2628.4
PI06	4.96	11.95	5.98	180.59	60.49	242.84	506.15	116.65	698.23	73.99	1.94	1903.77
PI07	5.4	13.73	6.47	255.93	78.7	363.77	750.47	160.13	1138.63	119.31	1.16	2893.69
Paldal	9.84	18.99	8.91	535.04	102.78	487.2	1265.4	187.67	1239.65	150.51	3.09	4009.09
Ru4	2.29	12.97	5.27	129.46	74.81	265.93	360.11	132.95	763.34	80.55	1.44	1829.1
Wonhyun	16.89	11.87	15.62	279.65	98.32	331.37	557.45	141.45	676.14	66.83	5.25	2200.86
Wonyeul	3.8	13.32	7.08	175.73	44.43	317.56	456.29	98.34	843.11	85.99	1.84	2047.49
